Año,Municipio,Subregión,Sexo,Enfermedades Transmisibles,Neoplasias,Enfermedades Sistema Circulatorio,Causas Externas,Todas las demás enfermedades,"Signos, síntomas y afecciones mal definidas",Enfermedades originadas en el periodo perinatal
2020,Pivijay,Río,Total,35.07,68.47,160.32,46.53,112.56,0,0
2021,Pivijay,Río,Total,141.52,78.34,212.28,22.74,146.58,0,7.2
2018,Pivijay,Río,Hombre,36.64,33.66,162.16,20,103.68,6.15,0
2019,Pivijay,Río,Hombre,28.08,66.31,142.89,45.31,98.95,0,0
2020,Pivijay,Río,Hombre,47.28,80.95,202.79,79.19,113.04,0,0
2021,Pivijay,Río,Hombre,168.9,84.45,243.42,34.77,173.87,0,11.3
2018,Pivijay,Río,Mujer,33.82,35.99,149.7,17.43,85.37,10.09,0
2019,Pivijay,Río,Mujer,17.56,47.53,107.71,12.07,87.99,0,0
2020,Pivijay,Río,Mujer,22.13,55.26,116.46,14.14,111.44,0,0
2021,Pivijay,Río,Mujer,113.17,72.02,180.04,10.29,118.31,0,2.94
2018,Plato,Centro,Total,39.64,82.69,173.62,40.41,97.39,10.34,0
2019,Plato,Centro,Total,23.23,51.97,143.18,50.84,76.71,10.96,0
2020,Plato,Centro,Total,17.06,72.87,162.27,44.67,115.77,9.97,0
2021,Plato,Centro,Total,127.7,44.62,160,33.85,116.93,18.46,7.49
2018,Plato,Centro,Hombre,28.02,77.76,195.39,68.9,103.16,6.64,0
2019,Plato,Centro,Hombre,12.44,50.72,164.44,77.28,96.31,15.14,0
2020,Plato,Centro,Hombre,26.08,80.31,186.44,69.14,109.63,11,0
2021,Plato,Centro,Hombre,150.86,48.27,171.98,57.33,132.75,15.09,4.83
2018,Plato,Centro,Mujer,52.51,88.69,149.68,10.02,92.11,14.21,0
2019,Plato,Centro,Mujer,35.02,52.69,120.03,23.42,55.48,6.56,0
2020,Plato,Centro,Mujer,7.42,64.73,136.06,19.36,121.23,8.74,0
2021,Plato,Centro,Mujer,103.6,40.81,147.55,9.42,100.46,21.98,10.33
2018,Pueblo Viejo,Norte,Total,24.27,68.26,151.35,48.12,139.55,11.34,0
2019,Pueblo Viejo,Norte,Total,30.23,57.41,121.88,36.56,141.74,0,0
2020,Pueblo Viejo,Norte,Total,69.61,58.68,190.3,143.26,138.76,6.1,0
2021,Pueblo Viejo,Norte,Total,100.95,33.65,134.61,36.71,79.54,12.24,3.99
2018,Pueblo Viejo,Norte,Hombre,26.43,101.09,156.4,60.38,139.95,9.38,0
2019,Pueblo Viejo,Norte,Hombre,30.61,49.95,158.28,59.05,115.84,0,0
2020,Pueblo Viejo,Norte,Hombre,76.26,54.5,226.51,272.15,186.84,11.79,0
2021,Pueblo Viejo,Norte,Hombre,120.48,18.07,162.65,72.29,90.36,18.07,8.4
2018,Pueblo Viejo,Norte,Mujer,22.21,34.29,144.85,32.37,138.6,13.4,0
2019,Pueblo Viejo,Norte,Mujer,29.75,67.82,84.56,13.05,159.54,0,0
2020,Pueblo Viejo,Norte,Mujer,62.41,62.71,158.01,6.55,91.44,0,0
2021,Pueblo Viejo,Norte,Mujer,80.81,49.73,105.67,0,68.37,6.22,0
2018,Remolino,Río,Total,11.19,64.32,48.89,13.23,16.39,163.64,0
2019,Remolino,Río,Total,39.23,53.27,69.47,17.03,37.93,6.59,0
2020,Remolino,Río,Total,8.02,39.75,69.67,26.3,66.47,6.51,0
2021,Remolino,Río,Total,107.33,49.54,115.59,16.51,90.82,8.26,17.39
2018,Remolino,Río,Hombre,0,68.44,95.25,0,29.68,198.47,0
2019,Remolino,Río,Hombre,48.67,35.42,99.16,32.99,58.53,13.25,0
2020,Remolino,Río,Hombre,16.02,66.27,80.97,50.52,62.42,0,0
2021,Remolino,Río,Hombre,96.17,32.06,96.17,32.06,80.14,16.03,0
2018,Remolino,Río,Mujer,22.88,60.99,0,29.17,0,128.28,0
2019,Remolino,Río,Mujer,29.3,73.76,38.68,0,18.08,0,0
2020,Remolino,Río,Mujer,0,12.91,55.91,0,68.82,12.91,0
2021,Remolino,Río,Mujer,119.19,68.11,136.22,0,102.16,0,35.71
2018,Sabanas de San Angel,Centro,Total,16.27,30.79,92.78,12.19,38.79,11.92,0
2019,Sabanas de San Angel,Centro,Total,16.1,26.55,67.78,30.46,58.29,25.28,0
